iter	RMSE
0	340180.4925
1	332305.9445
2	325020.5912
3	317602.2215
4	310642.146
5	303755.7872
6	296975.9078
7	290787.0621
8	284317.0173
9	278172.8028
10	271908.6408
11	267095.9434
12	262401.7384
13	256685.2189
14	251073.0684
15	245630.4514
16	240481.7319
17	236113.0303
18	231139.2406
19	226327.8348
20	222121.6562
21	217723.1245
22	213593.7165
23	210400.3842
24	206179.9324
25	202058.3718
26	198023.0017
27	194591.3314
28	190947.6564
29	187493.2951
30	184907.8009
31	181479.843
32	178601.5048
33	175509.9365
34	172358.043
35	169310.8817
36	166380.6453
37	163450.9153
38	160898.9181
39	158355.8403
40	156018.241
41	153642.4308
42	151589.548
43	149479.7547
44	147318.7285
45	145775.4015
46	143927.8921
47	142206.6649
48	140461.7746
49	139193.3068
50	137274.4965
51	135509.5394
52	134251.9337
53	132540.5669
54	130920.6841
55	129424.3802
56	127991.6481
57	126575.2984
58	125489.6116
59	124135.6895
60	122966.1933
61	121724.3329
62	120649.9377
63	119441.8951
64	118476.3702
65	117435.2545
66	116349.3731
67	115579.0249
68	114703.5946
69	113825.479
70	112934.858
71	112101.5139
72	111302.2417
73	110588.6594
74	110026.8913
75	109250.187
76	108647.3997
77	108148.9
78	107576.3108
79	106973.6545
80	106383.9079
81	105897.2803
82	105296.2917
83	104850.9724
84	104329.1039
85	103796.8532
86	103266.841
87	102842.1803
88	102365.1747
89	101922.6901
90	101480.028
91	101039.497
92	100612.2903
93	100344.9887
94	100032.0568
95	99688.68452
96	99313.18503
97	98969.92647
98	98695.96852
99	98358.42509
100	97991.89647
101	97778.51965
102	97437.58089
103	97227.67296
104	96884.79332
105	96700.36351
106	96394.8416
107	96181.21209
108	95975.03315
109	95804.67917
110	95603.03341
111	95415.01075
112	95146.10365
113	94916.45271
114	94655.54299
115	94499.52554
116	94348.75168
117	94189.41725
118	94015.30291
119	93802.96584
120	93603.51541
121	93482.82257
122	93414.78306
123	93230.72406
124	93073.98721
125	92892.80872
126	92716.33117
127	92610.35445
128	92449.53249
129	92261.02792
130	92147.03552
131	92019.43992
132	91915.86076
133	91788.2833
134	91689.37191
135	91604.8293
136	91487.21689
137	91303.76461
138	91239.47393
139	91145.09759
140	90997.42371
141	90859.37321
142	90797.50463
143	90706.43025
144	90644.66788
145	90572.08806
146	90417.45433
147	90360.53943
148	90266.09329
149	90131.26062
150	90053.76133
151	89952.65356
152	89873.94194
153	89730.95134
154	89617.21248
155	89505.83338
156	89419.42817
157	89276.85404
158	89147.40648
159	89069.80931
160	88916.66799
161	88818.70773
162	88721.39847
163	88678.19057
164	88613.26588
165	88480.84266
166	88388.96422
167	88343.60268
168	88300.48062
169	88200.62626
170	88148.38791
171	88063.28231
172	87933.25943
173	87863.64656
174	87792.91906
175	87629.19752
176	87542.84535
177	87369.05634
178	87275.17088
179	87166.18113
180	87109.75685
181	87035.34717
182	86967.27856
183	86785.34771
184	86701.9321
185	86632.8417
186	86589.1174
187	86476.441
188	86358.5365
189	86299.06936
190	86237.65976
191	86156.83122
192	86082.4119
193	86026.05058
194	85961.01373
195	85893.08686
196	85796.20582
197	85757.09981
198	85560.94147
199	85462.96414
200	85379.45884
201	85290.64403
202	85206.35761
203	85133.17924
204	85067.38531
205	85005.20213
206	84921.88014
207	84795.87362
208	84733.23146
209	84665.37808
210	84589.6795
211	84523.58842
212	84485.99584
213	84436.60381
214	84367.41694
215	84294.4438
216	84225.06822
217	84180.78113
218	84124.34071
219	84092.90425
220	83972.03864
221	83903.78948
222	83784.75849
223	83732.32569
224	83688.63172
225	83567.16963
226	83542.7598
227	83459.41713
228	83382.32909
229	83319.64199
230	83270.15173
231	83216.4998
232	83109.64424
233	82969.82113
234	82924.72313
235	82897.86561
236	82850.63538
237	82832.8456
238	82812.06317
239	82663.15167
240	82648.10129
241	82601.11044
242	82581.77575
243	82480.81429
244	82463.8894
245	82453.52801
246	82444.59382
247	82389.07915
248	82380.35807
249	82192.09266
250	82011.32361
251	81965.68842
252	81930.6312
253	81877.85081
254	81862.27669
255	81694.0159
256	81537.02367
257	81526.84636
258	81478.91029
259	81468.2393
260	81322.82991
261	81275.67013
262	81219.54273
263	81204.57601
264	81129.56371
265	80987.30885
266	80921.65234
267	80788.86199
268	80743.13891
269	80697.22318
270	80655.13822
271	80594.58644
272	80466.21651
273	80456.07129
274	80435.92328
275	80419.72312
276	80405.55779
277	80344.61103
278	80291.55335
279	80268.31064
280	80258.71549
281	80245.03648
282	80231.68721
283	80223.65957
284	80119.88807
285	80112.94963
286	80099.23276
287	80057.27343
288	79917.64013
289	79903.81605
290	79890.57273
291	79881.91429
292	79868.89208
293	79850.47041
294	79802.38777
295	79717.71113
296	79662.79952
297	79609.74087
298	79573.62991
299	79471.54225
