iter	Passed	Remaining
0	0	115
1	0	100
2	0	92
3	1	87
4	1	83
5	1	81
6	1	79
7	2	77
8	2	76
9	2	74
10	2	73
11	3	73
12	3	72
13	3	71
14	3	73
15	4	73
16	4	73
17	4	73
18	4	73
19	5	73
20	5	72
21	5	72
22	5	71
23	6	71
24	6	71
25	6	72
26	7	72
27	7	73
28	7	74
29	8	74
30	8	74
31	8	74
32	9	75
33	9	75
34	9	75
35	10	74
36	10	74
37	10	74
38	10	73
39	11	73
40	11	73
41	11	72
42	12	72
43	12	72
44	12	72
45	13	73
46	13	73
47	14	74
48	14	74
49	14	74
50	15	74
51	15	74
52	15	74
53	16	73
54	16	73
55	16	73
56	17	73
57	17	73
58	17	72
59	18	72
60	18	72
61	18	72
62	19	72
63	19	72
64	20	72
65	20	72
66	20	72
67	21	72
68	21	72
69	22	73
70	22	73
71	23	73
72	23	73
73	24	73
74	24	73
75	25	73
76	25	73
77	25	73
78	26	74
79	26	74
80	27	74
81	27	74
82	28	74
83	28	74
84	29	73
85	29	73
86	30	73
87	30	73
88	31	73
89	31	73
90	31	73
91	32	73
92	32	73
93	33	72
94	33	72
95	34	72
96	34	72
97	34	72
98	35	71
99	35	71
100	36	71
101	36	70
102	36	70
103	37	70
104	37	70
105	38	69
106	38	69
107	38	69
108	39	69
109	39	68
110	40	68
111	40	67
112	40	67
113	41	67
114	41	67
115	42	67
116	42	66
117	43	66
118	43	66
119	43	65
120	44	65
121	44	64
122	44	64
123	45	63
124	45	63
125	45	63
126	46	62
127	46	62
128	46	61
129	47	61
130	47	61
131	47	60
132	48	60
133	48	60
134	49	60
135	49	59
136	49	59
137	50	59
138	50	58
139	51	58
140	51	58
141	51	57
142	52	57
143	52	56
144	52	56
145	53	56
146	53	55
147	53	55
148	54	54
149	54	54
150	54	54
151	55	53
152	55	53
153	55	52
154	56	52
155	56	52
156	56	51
157	57	51
158	57	51
159	57	50
160	58	50
161	58	49
162	58	49
163	59	49
164	59	48
165	59	48
166	60	47
167	60	47
168	60	47
169	60	46
170	61	46
171	61	45
172	61	45
173	62	45
174	62	44
175	62	44
176	63	43
177	63	43
178	63	43
179	64	42
180	64	42
181	64	41
182	65	41
183	65	41
184	65	40
185	66	40
186	66	40
187	66	39
188	67	39
189	67	39
190	67	38
191	68	38
192	68	37
193	68	37
194	68	37
195	69	36
196	69	36
197	69	35
198	70	35
199	70	35
200	70	34
201	70	34
202	71	34
203	71	33
204	72	33
205	72	33
206	73	32
207	73	32
208	73	32
209	74	31
210	74	31
211	74	31
212	75	30
213	75	30
214	75	29
215	75	29
216	76	29
217	76	28
218	77	28
219	77	28
220	77	27
221	77	27
222	78	26
223	78	26
224	78	26
225	78	25
226	79	25
227	79	25
228	79	24
229	80	24
230	80	24
231	80	23
232	81	23
233	81	22
234	82	22
235	82	22
236	82	21
237	83	21
238	83	21
239	83	20
240	84	20
241	84	20
242	84	19
243	85	19
244	85	19
245	85	18
246	86	18
247	86	18
248	86	17
249	86	17
250	87	17
251	87	16
252	87	16
253	87	15
254	88	15
255	88	15
256	88	14
257	89	14
258	89	14
259	89	13
260	89	13
261	90	13
262	90	12
263	90	12
264	91	12
265	91	11
266	91	11
267	92	11
268	92	10
269	92	10
270	93	9
271	93	9
272	93	9
273	93	8
274	94	8
275	94	8
276	95	7
277	95	7
278	95	7
279	96	6
280	96	6
281	96	6
282	97	5
283	97	5
284	98	5
285	98	4
286	98	4
287	99	4
288	99	3
289	99	3
290	100	3
291	100	2
292	100	2
293	101	2
294	101	1
295	101	1
296	102	1
297	102	0
298	102	0
299	103	0
