id,brand,price,take_place,destination,hand_luggage,checked_baggage,price_raw,start_hour,end_hour,trip_mins,days_left,is_holiday,num_flights_same_route_day,price_lag1,price_lag3,price_roll3_mean,price_roll3_std
9G-1955,SUN PhuQuoc AIRWAYS,1715670,TP HCM (SGN),Phú Quốc (PQC),7,23,1.715.670 VND,Morning,Morning,60,3,0,4,1715670.0,1715670.0,1691188.0,0.0
9G-1955,SUN PhuQuoc AIRWAYS,1730520,TP HCM (SGN),Phú Quốc (PQC),7,7,1.730.520 VND,Morning,Morning,60,2,0,5,1715670.0,1730520.0,1481570.9,296443.3457253172
9G-1963,SUN PhuQuoc AIRWAYS,1214701,TP HCM (SGN),Phú Quốc (PQC),7,23,1.214.701 VND,Morning,Afternoon,60,3,0,4,1214701.0,1214701.0,1691188.0,0.0
9G-1963,SUN PhuQuoc AIRWAYS,3096167,TP HCM (SGN),Phú Quốc (PQC),7,46,3.096.167 VND,Morning,Afternoon,60,3,0,4,1214701.0,3096167.0,1691188.0,0.0
9G-1963,SUN PhuQuoc AIRWAYS,1192950,TP HCM (SGN),Phú Quốc (PQC),7,7,1.192.950 VND,Morning,Afternoon,60,2,0,5,3096167.0,1192950.0,1481570.9,296443.3457253172
9G-1963,SUN PhuQuoc AIRWAYS,1192950,TP HCM (SGN),Phú Quốc (PQC),7,7,1.192.950 VND,Morning,Afternoon,60,1,0,4,1192950.0,1214701.0,1395346.4333333333,257377.7468396662
9G-1965,SUN PhuQuoc AIRWAYS,1214701,TP HCM (SGN),Phú Quốc (PQC),7,23,1.214.701 VND,Afternoon,Afternoon,60,3,0,4,1214701.0,1214701.0,1691188.0,0.0
9G-1965,SUN PhuQuoc AIRWAYS,1192950,TP HCM (SGN),Phú Quốc (PQC),7,7,1.192.950 VND,Afternoon,Afternoon,60,2,0,5,1214701.0,1192950.0,1481570.9,296443.3457253172
9G-1965,SUN PhuQuoc AIRWAYS,1192950,TP HCM (SGN),Phú Quốc (PQC),7,7,1.192.950 VND,Afternoon,Afternoon,60,1,0,4,1192950.0,1192950.0,1395346.4333333333,257377.7468396662
9G-1969,SUN PhuQuoc AIRWAYS,1214701,TP HCM (SGN),Phú Quốc (PQC),7,23,1.214.701 VND,Afternoon,Afternoon,60,3,0,4,1214701.0,1214701.0,1691188.0,0.0
9G-1969,SUN PhuQuoc AIRWAYS,1324620,TP HCM (SGN),Phú Quốc (PQC),7,7,1.324.620 VND,Afternoon,Afternoon,60,2,0,5,1214701.0,1324620.0,1481570.9,296443.3457253172
9G-1969,SUN PhuQuoc AIRWAYS,1324620,TP HCM (SGN),Phú Quốc (PQC),7,7,1.324.620 VND,Afternoon,Afternoon,60,1,0,4,1324620.0,1324620.0,1395346.4333333333,257377.7468396662
9G-1985,SUN PhuQuoc AIRWAYS,918729,TP HCM (SGN),Phú Quốc (PQC),7,7,918.729 VND,Evening,Evening,60,2,0,5,918729.0,918729.0,1481570.9,296443.3457253172
