id,brand,price,start_time,start_day,end_time,end_day,trip_time,take_place,destination,hand_luggage,checked_baggage,crawl_date
VJ-331,VietJet Air,892.569 VND,17:20,12 thg 6,18:20,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-325,VietJet Air,892.569 VND,17:30,12 thg 6,18:35,12 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1987,SUN PhuQuoc AIRWAYS,1.109.865 VND,19:00,12 thg 6,20:00,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-339,VietJet Air,1.119.399 VND,07:50,12 thg 6,08:50,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-337,VietJet Air,1.119.399 VND,09:10,12 thg 6,10:10,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-327,VietJet Air,1.119.399 VND,14:50,12 thg 6,15:50,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-329,VietJet Air,1.119.399 VND,06:40,12 thg 6,07:45,12 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-321,VietJet Air,1.119.399 VND,08:50,12 thg 6,09:55,12 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VN-1833,Vietnam Airlines,1.496.659 VND,17:30,12 thg 6,18:30,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,09-06-2026
VN-6103,Vietnam Airlines,1.623.115 VND,10:05,12 thg 6,11:10,12 thg 6,1h 5m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 1 x 10 kg,Hành lý xách tay 1 x 10 kg,09-06-2026
9G-1981,SUN PhuQuoc AIRWAYS,1.647.360 VND,16:25,12 thg 6,17:25,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1955,SUN PhuQuoc AIRWAYS,1.664.190 VND,07:05,12 thg 6,08:05,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1969,SUN PhuQuoc AIRWAYS,1.664.190 VND,11:35,12 thg 6,12:35,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
9G-1965,SUN PhuQuoc AIRWAYS,1.680.454 VND,10:35,12 thg 6,11:35,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
VJ-335,VietJet Air,1.753.523 VND,11:20,12 thg 6,12:20,12 thg 6,1h 0m,TP.HCM (SGN),Phú Quốc (PQC),Hành lý xách tay 7 kg,Hành lý xách tay 7 kg,09-06-2026
